id,title,source_url,filename
P01,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,https://arxiv.org/pdf/2005.11401
P02,A Survey on Evaluation of Large Language Models,https://arxiv.org/pdf/2307.03109
P03,Evaluating Large Language Models: A Comprehensive Survey,https://arxiv.org/pdf/2310.19736
P04,A Survey on Multimodal Large Language Models,https://arxiv.org/pdf/2306.13549
P05,Large Language Models: A Survey,https://arxiv.org/pdf/2402.06196
P06,Understanding the Planning of LLM Agents: A Survey,https://arxiv.org/pdf/2402.02716
P07,Large Language Model based Multi-Agents: A Survey,https://arxiv.org/pdf/2402.01680
P08,Retrieval-Augmented Generation for Large Language Models: A Survey,https://arxiv.org/pdf/2312.10997
P09,A Survey on Retrieval-Augmented Text Generation for Large Language Models,https://arxiv.org/pdf/2404.10981
P10,A Survey on Large Language Models for Code Generation,https://arxiv.org/pdf/2406.00515
